2114,11627,11969 1
2109,27769,12294 1
1106,5927,18484 1
2106,19930,20175 1
1118,15884,19431 1
2104,5877,11256 1
1101,11587,8545 1
2108,18641,1640 1
2102,20635,8432 1
2111,15378,23772 1
2108,28091,11317 1
2105,16215,13154 1
1118,11262,12318 1
1112,25921,11236 1
2110,20811,15537 1
2105,17689,21340 1
1115,16034,4694 1
2114,23435,10530 1
1111,15094,6782 1
1119,23413,5180 1
1101,28270,8705 1
2113,5100,12462 1
2119,15519,24872 1
1101,28022,8729 1
1101,27365,8734 1
1112,22340,22746 1
1114,12206,9149 1
1116,6658,23789 1
1111,17978,3005 1
2109,21602,24075 1
2109,22452,7875 1
1110,17816,1920 1
2110,8695,5197 1
1106,11399,21283 1
1115,19900,4737 1
1101,15214,8892 1
1111,25446,17652 1
1101,8471,8929 1
1115,17155,1747 1
1113,16001,22578 1
2113,12948,17245 1
2105,5663,10614 1
2101,23562,21153 1
2117,22418,16255 1
1101,5756,9000 1
1101,4195,9013 1
2105,21760,10243 1
1115,23306,7872 1
2101,16877,1512 1
2114,18617,10260 1
1101,13537,9128 1
2119,11005,21223 1
2118,9598,20475 1
1113,6290,3492 1
2104,17745,24166 1
1107,9246,19310 1
1101,8067,9187 1
1101,3384,9203 1
1118,21725,8336 1
1107,1732,13606 1
1119,27315,10570 1
1101,18105,9273 1
1117,28288,13331 1
1119,17125,10835 1
1117,4367,11482 1
2112,24596,6499 1
1108,6178,11980 1
1117,11485,4842 1
2111,12811,7685 1
2115,18919,24850 1
1116,16329,9835 1
1110,11969,2626 1
2103,8664,6294 1
2118,23838,24329 1
1101,26180,9462 1
1108,19444,20308 1
1111,21953,5885 1
2116,18122,13971 1
2113,13328,11342 1
1116,12198,11997 1
1119,15178,16755 1
2109,25359,14351 1
1110,8582,15882 1
2112,24883,14500 1
2106,9770,22898 1
2108,20676,20502 1
1113,22029,24646 1
1111,5686,5921 1
2108,14702,8202 1
2110,5727,6466 1
2118,20417,1581 1
1117,20087,22551 1
2106,8026,7676 1
1108,24550,5897 1
2115,20157,6288 1
1117,26797,5534 1
1101,23463,9655 1
1109,6675,10164 1
1115,11741,17960 1
1119,16159,20219 1
1118,11425,21237 1
2113,4157,6086 1
2102,27733,8904 1
2110,11167,5549 1
1116,19891,22997 1
2109,6237,20659 1
2111,27044,9431 1
2109,21798,23230 1
2106,18781,23324 1
1110,24625,21093 1
2113,21676,2502 1
1115,9162,23951 1
1119,23456,22366 1
2117,13753,13330 1
1119,17015,4316 1
1106,8663,17178 1
2109,23368,19252 1
1101,16762,9917 1
1107,4837,20195 1
1118,13746,10075 1
1101,6232,9948 1
2106,23236,16985 1
1116,10011,16971 1
1101,25317,9978 1
2119,15068,3413 1
2106,14144,10635 1
2108,18518,3904 1
2104,20677,9762 1
2107,14349,2262 1
2113,13591,17747 1
2104,20241,13597 1
1110,12362,22607 1
1111,18909,21091 1
1110,27266,18795 1
1107,6896,7118 1
2112,2481,11085 1
1107,27317,16629 1
1101,7581,10082 1
1101,17775,10111 1
2104,24195,2974 1
2113,9185,19215 1
1106,26597,16001 1
2104,12605,18372 1
2111,15018,2858 1
2103,3676,16801 1
1113,11371,1986 1
